"location_name","iso3","cause","year","intervention","pp.cov.inc","sp.cov.inc","pp_cov","sp_cov","PP_eff","SP_eff","wb2021","location","location_ncdrisc"
"China","CHN","ihd",2017,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2017,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2017,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2017,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2017,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2017,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2017,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2017,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2017,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2017,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2017,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2017,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2017,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2017,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2017,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2017,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2017,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2017,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2017,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2017,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2018,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2018,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2018,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2018,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2018,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2018,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2018,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2018,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2018,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2018,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2018,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2018,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2018,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2018,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2018,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2018,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2018,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2018,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2018,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2018,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2019,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2019,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2019,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2019,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2019,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2019,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2019,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2019,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2019,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2019,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2019,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2019,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2019,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2019,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2019,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2019,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2019,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2019,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2019,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2019,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2020,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2020,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2020,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2020,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2020,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2020,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2020,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2020,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2020,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2020,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2020,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2020,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2020,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2020,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2020,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2020,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2020,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2020,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2020,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2020,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2021,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2021,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2021,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2021,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2021,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2021,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2021,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2021,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2021,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2021,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2021,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2021,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2021,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2021,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2021,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2021,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2021,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2021,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2021,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2021,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2022,"Baseline",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2022,"Scenario 1",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2022,"Scenario 2",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2022,"Scenario 3",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2022,"Scenario 4",0,0,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2022,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2022,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2022,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2022,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2022,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2022,"Baseline",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2022,"Scenario 1",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2022,"Scenario 2",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2022,"Scenario 3",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2022,"Scenario 4",0,0,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2022,"Baseline",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2022,"Scenario 1",0,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2022,"Scenario 2",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2022,"Scenario 3",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2022,"Scenario 4",0,0,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2023,"Baseline",0.005270739,0.005270739,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2023,"Scenario 1",0.015,0.015,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2023,"Scenario 2",0.015,0.015,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2023,"Scenario 3",0.025,0.025,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2023,"Scenario 4",0.045,0.045,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2023,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2023,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2023,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2023,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2023,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2023,"Baseline",0.005270739,0.005270739,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2023,"Scenario 1",0.015,0.015,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2023,"Scenario 2",0.015,0.015,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2023,"Scenario 3",0.025,0.025,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2023,"Scenario 4",0.045,0.045,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2023,"Baseline",0.005270739,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2023,"Scenario 1",0.015,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2023,"Scenario 2",0.015,0.015,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2023,"Scenario 3",0.025,0.025,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2023,"Scenario 4",0.045,0.045,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2024,"Baseline",0.010541478,0.010541478,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2024,"Scenario 1",0.03,0.03,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2024,"Scenario 2",0.03,0.03,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2024,"Scenario 3",0.05,0.05,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2024,"Scenario 4",0.09,0.09,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2024,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2024,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2024,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2024,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2024,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2024,"Baseline",0.010541478,0.010541478,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2024,"Scenario 1",0.03,0.03,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2024,"Scenario 2",0.03,0.03,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2024,"Scenario 3",0.05,0.05,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2024,"Scenario 4",0.09,0.09,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2024,"Baseline",0.010541478,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2024,"Scenario 1",0.03,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2024,"Scenario 2",0.03,0.03,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2024,"Scenario 3",0.05,0.05,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2024,"Scenario 4",0.09,0.09,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","ihd",2025,"Baseline",0.015812217,0.015812217,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2025,"Scenario 1",0.045,0.045,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2025,"Scenario 2",0.045,0.045,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2025,"Scenario 3",0.075,0.075,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","ihd",2025,"Scenario 4",0.135,0.135,0.06618656489887,0.0620425702694549,0.53,0.49,"UMIC","China","China"
"China","CHN","hhd",2025,"Baseline",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2025,"Scenario 1",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2025,"Scenario 2",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2025,"Scenario 3",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","hhd",2025,"Scenario 4",NA,NA,NA,NA,0,0,"UMIC","China","China"
"China","CHN","istroke",2025,"Baseline",0.015812217,0.015812217,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2025,"Scenario 1",0.045,0.045,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2025,"Scenario 2",0.045,0.045,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2025,"Scenario 3",0.075,0.075,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","istroke",2025,"Scenario 4",0.135,0.135,0.0778066109274789,0.0759518082872083,0.55,0.49,"UMIC","China","China"
"China","CHN","hstroke",2025,"Baseline",0.015812217,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
"China","CHN","hstroke",2025,"Scenario 1",0.045,NA,0.0995241735219036,0.0666991220811037,0.37,0,"UMIC","China","China"
