location_name,Sample Size,Hypertension,Hyp-Treated,Hyp-Controlled,sev_ihd_female,sev_ihd_male,sev_stroke_female,sev_stroke_male,haqi,ldi_pc
India,26465,8458,2822,1154,2.703480211,2.897590249,2.021136961,2.204897221,30.92446393,3005.3618
China,45890,19502,6482,1544,2.658266002,2.788987354,1.784541841,2.10742456,67.1834532,5944.7427
South Africa,3135,1850,560,114,3.395658952,3.454596465,2.47002741,2.566366877,37.39587008,10129.048
Colombia,7225,2820,1314,486,2.852944142,2.844226429,1.756608812,1.913249611,62.00607945,8640.8115
United Arab Emirates,908,477,241,63,3.085137364,2.955315831,2.049506956,2.00881424,56.3293774,80604.883
Zimbabwe,760,453,119,36,3.502006751,3.296286957,2.449544745,2.245144222,23.38336722,1631.8679
Brazil,5421,2937,1839,683,2.996525597,2.993286344,1.958802789,2.094249962,55.81628176,10863.187
Sweden,4053,1923,615,169,2.985337227,3.060032567,1.94436128,2.100785984,94.02480633,39997.43
Chile,4929,2442,1361,581,3.188696612,3.283911871,2.072514668,2.340751071,71.41382837,15727.215
Iran (Islamic Republic of),5665,1598,815,293,2.850218271,2.854082977,1.79670488,1.804454777,62.02608901,12269.319
Canada,9943,3910,2117,969,2.835530085,2.923104089,1.667565949,1.834053704,92.53137377,39143.379
Argentina,10946,5765,2981,953,2.68904074,2.864495346,1.739692515,2.014430052,62.41621472,12763.155
Poland,14656,9081,5170,1905,3.137723663,3.508736796,2.101131156,2.659637431,74.38373619,16517.221
Malaysia,11436,5500,2235,688,3.20449518,3.461931875,2.093690802,2.283397584,58.52392485,16564.689
Bangladesh,2676,1080,171,43,2.590330146,2.828805476,1.795178307,1.834470305,34.26511317,1801.1437
Turkey,3874,1593,808,328,3.028658781,3.264438918,1.961380411,2.033698214,64.53390462,13822.316
Pakistan,2130,750,250,116,3.010576289,3.260535233,2.118943623,2.329483342,27.28358465,3193.2532
United Republic of Tanzania,1623,636,19,2,2.860818919,3.036762502,2.053927805,2.232432725,29.12843887,1556.7161
Palestine,1497,591,345,131,3.186427235,3.279791701,2.024018457,2.034942666,52.86686436,3547.8796
Saudi Arabia,2003,621,367,191,3.132529571,3.257467254,2.049765189,2.156745054,62.61797125,35108.691
Philippines,4590,2572,1301,379,2.815130952,2.894541048,1.934976265,2.244552266,41.69858171,4574.6138
Uruguay,1462,823,530,238,3.18052751,3.329518544,2.056503068,2.255743553,67.05508711,11632.562
Peru,3012,684,350,200,2.252918112,2.33398586,1.410354199,1.55688479,54.48918653,7171.0933
Russian Federation,2849,1564,1060,403,3.162538148,3.606133625,2.124546743,2.664417922,66.58399246,15955.196
Kazakhstan,2151,1062,602,182,2.930296602,3.339186291,2.220661286,2.702854855,55.21990477,12257.466
Kyrgyzstan,1854,871,542,231,2.828047621,3.089131426,2.164901035,2.602513065,51.65658324,2167.0959
Ecuador,1979,540,235,114,2.67016466,2.839111606,1.657945889,1.836418083,53.9103662,7749.5376